Date,Week,Temp_Max,Temp_Min,Humd_Max,Humd_Min,Nh3_Max,Nh3_Min,Co2_Max,Co2_Min,Dust_Max,Dust_Min,Feed,Weight
08-02-2023,1,30.9,20.1,40,23,25,9,2866,945,0.5,0.22,166.8,157.4
08-02-2023,1,33.4,23.5,42,21,22,7,3736,680,0.53,0.23,166.8,157.4
08-02-2023,1,34.4,21.9,42,22,22,7,2735,677,0.48,0.25,166.8,157.4
08-02-2023,1,34.5,21.4,47,22,17,12,2581,510,0.54,0.23,166.8,157.4
08-02-2023,1,35.4,23.1,50,27,24,12,2113,786,0.56,0.17,166.8,157.4
08-02-2023,1,35.4,24.6,55,33,23,8,3101,938,0.47,0.17,166.8,157.4
08-02-2023,1,35.4,25.5,55,27,15,9,3851,615,0.52,0.27,166.8,157.4
08-02-2023,1,30.9,20.1,40,23,16,8,2728,701,0.52,0.22,163.8,148.6
08-02-2023,1,33.4,23.5,42,21,19,8,2420,776,0.47,0.2,163.8,148.6
08-02-2023,1,34.4,21.9,42,22,22,9,3288,892,0.47,0.23,163.8,148.6
08-02-2023,1,34.5,21.4,47,22,23,7,2020,606,0.53,0.16,163.8,148.6
08-02-2023,1,35.4,23.1,50,27,15,10,3079,879,0.52,0.2,163.8,148.6
08-02-2023,1,35.4,24.6,55,33,19,11,2659,818,0.52,0.16,163.8,148.6
08-02-2023,1,35.4,25.5,55,27,21,7,2364,617,0.5,0.23,163.8,148.6
08-02-2023,1,30.9,20.1,40,23,18,7,3468,957,0.5,0.17,170,157.8
08-02-2023,1,33.4,23.5,42,21,22,7,2742,926,0.55,0.25,170,157.8
08-02-2023,1,34.4,21.9,42,22,21,12,3254,994,0.54,0.27,170,157.8
08-02-2023,1,34.5,21.4,47,22,20,11,2317,663,0.53,0.18,170,157.8
08-02-2023,1,35.4,23.1,50,27,16,11,3116,548,0.48,0.17,170,157.8
08-02-2023,1,35.4,24.6,55,33,16,8,3497,892,0.56,0.25,170,157.8
08-02-2023,1,35.4,25.5,55,27,24,9,3111,623,0.56,0.16,170,157.8
08-02-2023,1,30.9,20.1,40,23,21,8,2915,904,0.49,0.23,172.4,164.6
08-02-2023,1,33.4,23.5,42,21,18,9,2582,736,0.55,0.2,172.4,164.6
08-02-2023,1,34.4,21.9,42,22,22,8,2415,777,0.49,0.16,172.4,164.6
08-02-2023,1,34.5,21.4,47,22,25,7,2656,663,0.55,0.24,172.4,164.6
08-02-2023,1,35.4,23.1,50,27,16,10,2134,710,0.55,0.21,172.4,164.6
08-02-2023,1,35.4,24.6,55,33,22,12,3959,700,0.47,0.24,172.4,164.6
08-02-2023,1,35.4,25.5,55,27,20,9,3295,605,0.51,0.2,172.4,164.6
08-02-2023,1,30.9,20.1,40,23,19,11,3856,785,0.55,0.26,170.4,167.6
08-02-2023,1,33.4,23.5,42,21,23,7,2725,702,0.53,0.16,170.4,167.6
08-02-2023,1,34.4,21.9,42,22,21,7,2021,532,0.55,0.26,170.4,167.6
08-02-2023,1,34.5,21.4,47,22,22,8,3516,645,0.5,0.23,170.4,167.6
08-02-2023,1,35.4,23.1,50,27,16,10,3941,870,0.5,0.27,170.4,167.6
08-02-2023,1,35.4,24.6,55,33,24,9,3124,535,0.53,0.2,170.4,167.6
08-02-2023,1,35.4,25.5,55,27,18,12,2360,664,0.54,0.16,170.4,167.6
08-02-2023,1,30.9,20.1,40,23,19,7,2603,603,0.48,0.26,170.6,162.6
08-02-2023,1,33.4,23.5,42,21,19,9,2299,883,0.55,0.18,170.6,162.6
08-02-2023,1,34.4,21.9,42,22,24,9,2464,863,0.54,0.26,170.6,162.6
08-02-2023,1,34.5,21.4,47,22,17,12,2398,973,0.49,0.15,170.6,162.6
08-02-2023,1,35.4,23.1,50,27,23,11,2123,721,0.49,0.17,170.6,162.6
08-02-2023,1,35.4,24.6,55,33,15,12,2162,561,0.51,0.2,170.6,162.6
08-02-2023,1,35.4,25.5,55,27,16,8,2835,920,0.49,0.19,170.6,162.6
08-02-2023,1,30.9,20.1,40,23,23,8,2126,952,0.54,0.17,168,156.4
08-02-2023,1,33.4,23.5,42,21,21,11,3300,862,0.48,0.19,168,156.4
08-02-2023,1,34.4,21.9,42,22,20,8,2700,521,0.49,0.24,168,156.4
08-02-2023,1,34.5,21.4,47,22,20,10,2129,752,0.55,0.24,168,156.4
08-02-2023,1,35.4,23.1,50,27,23,10,3663,682,0.54,0.18,168,156.4
08-02-2023,1,35.4,24.6,55,33,24,7,3204,736,0.49,0.19,168,156.4
08-02-2023,1,35.4,25.5,55,27,25,8,3266,832,0.55,0.26,168,156.4
08-02-2023,1,30.9,20.1,40,23,24,7,2668,658,0.5,0.2,169.8,159.8
08-02-2023,1,33.4,23.5,42,21,15,12,3597,740,0.48,0.24,169.8,159.8
08-02-2023,1,34.4,21.9,42,22,20,10,2121,868,0.5,0.25,169.8,159.8
08-02-2023,1,34.5,21.4,47,22,25,9,2430,965,0.52,0.15,169.8,159.8
08-02-2023,1,35.4,23.1,50,27,24,7,2597,977,0.54,0.22,169.8,159.8
08-02-2023,1,35.4,24.6,55,33,15,11,2527,568,0.54,0.19,169.8,159.8
08-02-2023,1,35.4,25.5,55,27,17,10,2663,725,0.53,0.23,169.8,159.8
08-02-2023,1,30.9,20.1,40,23,18,12,3456,890,0.51,0.16,169.6,159.4
08-02-2023,1,33.4,23.5,42,21,19,11,2034,949,0.53,0.2,169.6,159.4
08-02-2023,1,34.4,21.9,42,22,24,8,3726,686,0.51,0.26,169.6,159.4
08-02-2023,1,34.5,21.4,47,22,21,8,3199,682,0.48,0.23,169.6,159.4
08-02-2023,1,35.4,23.1,50,27,20,11,2147,838,0.49,0.24,169.6,159.4
08-02-2023,1,35.4,24.6,55,33,22,10,3041,887,0.5,0.23,169.6,159.4
08-02-2023,1,35.4,25.5,55,27,23,9,2044,551,0.54,0.23,169.6,159.4
08-02-2023,1,30.9,20.1,40,23,17,11,3107,843,0.55,0.22,171.4,158.6
08-02-2023,1,33.4,23.5,42,21,22,9,2206,695,0.49,0.18,171.4,158.6
08-02-2023,1,34.4,21.9,42,22,20,9,3107,760,0.49,0.21,171.4,158.6
08-02-2023,1,34.5,21.4,47,22,18,7,2851,770,0.5,0.15,171.4,158.6
08-02-2023,1,35.4,23.1,50,27,17,11,3932,626,0.51,0.22,171.4,158.6
08-02-2023,1,35.4,24.6,55,33,16,7,3683,802,0.47,0.2,171.4,158.6
